pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
TRIF(TICAM1)-mediated TLR4 signaling ,,0.0002830052,0.0028874828,2.5394805959,2.8094135802,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
PTEN Regulation,,0.0002872413,0.0028874828,2.5394805959,2.1725269573,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
Defective pyroptosis,,0.000290683,0.0028928927,2.5386676768,4.6808080808,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,
Deubiquitination,,0.0002979932,0.0029412394,2.531469618,2.0060606061,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
PI Metabolism,,0.0002995894,0.0029412394,2.531469618,3.0905695612,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,
Cellular Senescence,,0.0003129391,0.0030268519,2.5190088313,1.9987922705,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,,0.0003233031,0.0030268519,2.5190088313,2.7709284627,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by KIT in disease,,0.0003225844,0.0030268519,2.5190088313,3.0648148148,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,
Post-chaperonin tubulin folding pathway,,0.000321983,0.0030268519,2.5190088313,18.3888888889,hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
NRIF signals cell death from the nucleus,Cell death,0.0003251919,0.0030268519,2.5190088313,10.5079365079,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p,,,,,,,,,,,,,,
Ovarian tumor domain proteases,,0.0003233031,0.0030268519,2.5190088313,2.7709284627,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,
PRC2 methylates histones and DNA,,0.0003270583,0.0030268519,2.5190088313,4.5972222222,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,
Signaling by phosphorylated juxtamembrane,,0.0003225844,0.0030268519,2.5190088313,3.0648148148,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,
Vitamin B5 (pantothenate) metabolism,,0.000321983,0.0030268519,2.5190088313,18.3888888889,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
PI3K Cascade,,0.0003408101,0.0031158892,2.5064180007,3.412371134,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,
Toll Like Receptor 9 (TLR9) Cascade,,0.0003452568,0.0031158892,2.5064180007,2.7520786092,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Toll Like Receptor 7/8 (TLR7/8) Cascade,,0.0003452568,0.0031158892,2.5064180007,2.7520786092,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
MyD88 dependent cascade initiated on endosome,,0.0003452568,0.0031158892,2.5064180007,2.7520786092,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by Rho GTPases,,0.0003533317,0.0031690799,2.4990668136,2.1364684186,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
Post-translational protein modification,,0.0003572465,0.0031845344,2.4969540598,1.6943691659,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,,0.0003684929,0.0032449705,2.488789247,2.7334834835,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Regulation of TP53 Expression and Degradation,,0.0003684929,0.0032449705,2.488789247,2.7334834835,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,
Response of Mtb to phagocytosis,,0.0003798039,0.0032848519,2.4834842031,7.0726495726,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,,,
FGFR1 ligand binding and activation,FGFR,0.0003798039,0.0032848519,2.4834842031,7.0726495726,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Phospholipase C-mediated cascade: FGFR1,FGFR,0.0003798039,0.0032848519,2.4834842031,7.0726495726,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Activated NOTCH1 Transmits Signal to the Nucleus,NOTCH,0.0004109533,0.0035332254,2.4518286561,4.438697318,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,
Biosynthesis of EPA-derived SPMs,,0.0004358561,0.0037035026,2.4313873475,9.8074074074,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-21-3p,,,,,,,,,,,,,,
Fatty acyl-CoA biosynthesis,,0.0004358561,0.0037035026,2.4313873475,9.8074074074,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
G2/M Transition,,0.0004465276,0.0037721194,2.4234145636,2.6791758646,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Neddylation,,0.0004707967,0.0039541477,2.4029471082,3.2772277228,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
DNA methylation,,0.0004776233,0.0039699391,2.4012161565,5.253968254,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
Signaling by Rho GTPases,,0.0004781413,0.0039699391,2.4012161565,2.0845704004,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
Extracellular matrix organization,,0.0004889647,0.0040367373,2.3939695165,2.2446531038,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Potential therapeutics for SARS,,0.0004948906,0.0040625768,2.3911984115,2.9188712522,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,
RND3 GTPase cycle,,0.0005115529,0.0041757662,2.3792638239,4.2907407407,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,
Nucleotide-binding domain,,0.0005301472,0.0042794659,2.3686104265,2.895888014,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,
Transcriptional regulation of white adipocyte differentiation,,0.0005301472,0.0042794659,2.3686104265,2.895888014,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,
Signaling by PDGFRA extracellular domain mutants,,0.0005500599,0.0043674156,2.3597754783,3.213592233,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,,
Signaling by PDGFRA transmembrane,,0.0005500599,0.0043674156,2.3597754783,3.213592233,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,,
Inactivation of CDC42 and RAC1,,0.0005485759,0.0043674156,2.3597754783,6.5674603175,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,,
SARS-CoV-1 Infection,,0.0005688559,0.0044921063,2.3475499707,4.2204007286,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,,
Regulation of PTEN gene transcription,,0.0005725676,0.0044969771,2.3470793225,2.6100358423,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by CSF3 (G-CSF),,0.0005937207,0.004638044,2.3336651339,3.1826923077,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,
Diseases of signal transduction by growth factor receptors and second messengers,,0.0006003417,0.0046646867,2.3311775156,1.6410032079,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Interleukin-27 signaling,Interleukin,0.0006219979,0.00480725,2.3181032952,5.0151515152,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,
Regulation of TNFR1 signaling,,0.0006312468,0.004827377,2.3162887844,4.1523297491,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
SUMOylation of DNA damage response and repair proteins,,0.0006312468,0.004827377,2.3162887844,4.1523297491,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,
Regulation of beta-cell development,,0.0006490622,0.0049376302,2.3064814376,2.8290598291,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p,,,,,,,,
Formation of Senescence-Associated Heterochromatin Foci (SAHF),,0.0006722518,0.0050874058,2.2935036229,3.5448460509,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Infectious disease,,0.0006957193,0.0052107221,2.2831020868,1.8828213879,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
NOTCH1 Intracellular Domain Regulates Transcription,NOTCH,0.0006934378,0.0052107221,2.2831020868,2.8074639525,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,
CDC42 GTPase cycle,,0.000731946,0.0054539364,2.2632899268,3.5026455026,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Interleukin-2 family signaling,Interleukin,0.0007425558,0.0055047634,2.2592613458,3.0934579439,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,
RHOG GTPase cycle,,0.0007726269,0.0056413415,2.248617613,4.0225694444,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Innate Immune System,,0.0007708985,0.0056413415,2.248617613,1.7409598948,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,
RND1 GTPase cycle,,0.0007986836,0.0056886631,2.2449897867,4.7971014493,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,
Interleukin-35 Signalling,Interleukin,0.0007986836,0.0056886631,2.2449897867,4.7971014493,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,
Signaling by RAF1 mutants,,0.0007986316,0.0056886631,2.2449897867,3.0648148148,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Cell Cycle Checkpoints,,0.0007858246,0.0056886631,2.2449897867,2.3228070175,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Metabolism of steroids,,0.0007959404,0.0056886631,2.2449897867,3.4614379085,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
NOTCH3 Activation and Transmission of Signal to the Nucleus,NOTCH,0.0008523152,0.006041044,2.2188880019,3.9606837607,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,,
ChREBP activates metabolic gene expression,,0.0008710296,0.0061140384,2.2136718412,13.7916666667,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
PIP3 activates AKT signaling,,0.0008762974,0.0061214431,2.213146181,1.7256435321,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
Stimuli-sensing channels,,0.000901383,0.006236712,2.2050443086,5.9318996416,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-93-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,,0.0009006343,0.006236712,2.2050443086,4.695035461,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Cell death,0.0009384898,0.0063424449,2.1977432972,3.9006734007,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-195-5p,,,,,,,,,,,
NOD1/2 Signaling Pathway,,0.0009384898,0.0063424449,2.1977432972,3.9006734007,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
SARS-CoV-2 Infection,,0.0009384898,0.0063424449,2.1977432972,3.9006734007,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,,
RAC2 GTPase cycle,,0.0009377749,0.0063424449,2.1977432972,3.3818646232,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
RAF-independent MAPK1/3 activation,,0.0009384898,0.0063424449,2.1977432972,3.9006734007,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,
Signaling by PTK6,,0.0009472659,0.0063427526,2.1977222279,2.1155358899,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,
Signaling by Non-Receptor Tyrosine Kinases,,0.0009472659,0.0063427526,2.1977222279,2.1155358899,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,
Intracellular signaling by second messengers,,0.0009536934,0.0063432536,2.1976879248,1.7155814707,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
MAPK6/MAPK4 signaling,,0.0009560719,0.0063432536,2.1976879248,2.704248366,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Transcriptional regulation by RUNX1,,0.0009715568,0.006416691,2.1926888758,2.2749140893,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Cellular response to chemical stress,,0.0009885595,0.0064994434,2.1871238357,2.981981982,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,
Constitutive Signaling by NOTCH1 HD Domain Mutants,NOTCH,0.0010124959,0.0065327684,2.1849027394,4.5972222222,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,,
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,NOTCH,0.0010124959,0.0065327684,2.1849027394,4.5972222222,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,,
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,NOTCH,0.0010124959,0.0065327684,2.1849027394,4.5972222222,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,,
Signaling by NOTCH1 HD Domain Mutants in Cancer,NOTCH,0.0010124959,0.0065327684,2.1849027394,4.5972222222,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,,
Negative regulation of MAPK pathway,,0.0010161085,0.0065327684,2.1849027394,3.3434343434,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
